Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
5945	179	1	1		0013A2004151DF36	16	0
5946	179	2	1		0013A2004151DF36	16	0
5947	179	3	1		0013A2004151DF48	16	0
5948	179	4	1		0013A2004151DF48	16	0
5949	179	5	1		0013A2004151DF3A	16	0
5950	179	6	1		0013A2004151DF3A	16	0
5951	179	7	1		0013A2004151DF44	16	0
5952	179	8	1		0013A2004151DF44	16	0
5953	179	9	1		0013A2004151DF22	16	0
5954	179	10	1		0013A2004151DF22	16	0
5955	179	11	1		0013A2004151DF23	16	0
5956	179	12	1		0013A2004151DF23	16	0
5957	179	13	1		0013A2004151DF28	16	0
5958	179	14	1		0013A2004151DF28	16	0
5959	179	15	1		0013A2004151DF47	16	0
5960	179	16	1		0013A2004151DF47	16	0
5961	179	1	2		0013A2004151DF1E	16	0
5962	179	2	2		0013A2004151DF1E	16	0
5963	179	3	2		0013A2004151DF6A	16	0
5964	179	4	2		0013A2004151DF6A	16	0
5965	179	5	2		0013A20041099AFA	16	0
5966	179	6	2		0013A20041099AFA	16	0
5967	179	7	2		0013A20041099AF2	16	0
5968	179	8	2		0013A20041099AF2	16	0
5969	179	9	2		0013A20041099AF5	16	0
5970	179	10	2		0013A20041099AF5	16	0
5971	179	11	2		0013A20041099AEE	16	0
5972	179	12	2		0013A20041099AEE	16	0
5973	179	13	2		0013A2004151DF6B	16	0
5974	179	14	2		0013A2004151DF6B	16	0
5975	179	15	2		0013A20041099AF1	16	0
5976	179	16	2		0013A20041099AF1	16	0
5977	180	1	1		0013A2004151DF67	16	0
5978	180	2	1		0013A2004151DF67	16	0
5979	180	3	1		0013A2004151DEFC	16	0
5980	180	4	1		0013A2004151DEFC	16	0
5981	180	5	1		0013A2004151DF64	16	0
5982	180	6	1		0013A2004151DF64	16	0
5983	180	7	1		0013A2004151DF1F	16	0
5984	180	8	1		0013A2004151DF1F	16	0
5985	180	9	1		0013A2004151D504	16	0
5986	180	10	1		0013A2004151D504	16	0
5987	180	11	1		0013A20041753348	16	0
5988	180	12	1		0013A20041753348	16	0
5989	180	13	1		0013A20041753358	16	0
5990	180	14	1		0013A20041753358	16	0
5991	180	15	1		0013A2004175334B	16	0
5992	180	16	1		0013A2004175334B	16	0
5993	180	1	2		0013A20041753349	16	0
5994	180	2	2		0013A20041753349	16	0
5995	180	3	2		0013A2004175334E	16	0
5996	180	4	2		0013A2004175334E	16	0
5997	180	5	2		0013A20041753355	16	0
5998	180	6	2		0013A20041753355	16	0
5999	180	7	2		0013A2004175334C	16	0
6000	180	8	2		0013A2004175334C	16	0
6001	180	9	2		0013A2004175334D	16	0
6002	180	10	2		0013A2004175334D	16	0
6003	180	11	2		0013A20041753356	16	0
6004	180	12	2		0013A20041753356	16	0
6005	180	13	2		0013A2004175334A	16	0
6006	180	14	2		0013A2004175334A	16	0
6007	180	15	2		0013A2004175334F	16	0
6008	180	16	2		0013A2004175334F	16	0
6009	186	1	1		0013A20041094C51	16	0
6010	186	2	1		0013A20041094C51	16	0
6011	186	3	1		0013A20041094C57	16	0
6012	186	4	1		0013A20041094C57	16	0
6013	186	5	1		0013A200410886A5	16	0
6014	186	6	1		0013A200410886A5	16	0
6015	186	7	1		0013A20041094C5B	16	0
6016	186	8	1		0013A20041094C5B	16	0
6017	186	9	1		0013A20041094C59	16	0
6018	186	10	1		0013A20041094C59	16	0
6019	186	11	1		0013A200410886A8	16	0
6020	186	12	1		0013A200410886A8	16	0
6021	186	13	1		0013A20041094C53	16	0
6022	186	14	1		0013A20041094C53	16	0
6023	186	15	1		0013A20041094C56	16	0
6024	186	16	1		0013A20041094C56	16	0
6025	186	1	2		0013A20041094C58	16	0
6026	186	2	2		0013A20041094C58	16	0
6027	186	3	2		0013A20041094C45	16	0
6028	186	4	2		0013A20041094C45	16	0
6029	186	5	2		0013A20041094C5D	16	0
6030	186	6	2		0013A20041094C5D	16	0
6031	186	7	2		0013A20041094C5A	16	0
6032	186	8	2		0013A20041094C5A	16	0
6033	186	9	2		0013A20041094C61	16	0
6034	186	10	2		0013A20041094C61	16	0
6035	186	11	2		0013A20041094C5F	16	0
6036	186	12	2		0013A20041094C5F	16	0
6037	186	13	2		0013A20041094C60	16	0
6038	186	14	2		0013A20041094C60	16	0
6039	186	15	2		0013A200410886AA	16	0
6040	186	16	2		0013A200410886AA	16	0
6041	187	1	1		0013A20041094C4E	16	0
6042	187	2	1		0013A20041094C4E	16	0
6043	187	3	1		0013A20041094C69	16	0
6044	187	4	1		0013A20041094C69	16	0
6045	187	5	1		0013A20041094C65	16	0
6046	187	6	1		0013A20041094C65	16	0
6047	187	7	1		0013A20041094C5E	16	0
6048	187	8	1		0013A20041094C5E	16	0
6049	187	9	1		0013A20041094C5C	16	0
6050	187	10	1		0013A20041094C5C	16	0
6051	187	11	1		0013A200417341DC	16	0
6052	187	12	1		0013A200417341DC	16	0
6053	187	13	1		0013A20041734107	16	0
6054	187	14	1		0013A20041734107	16	0
6055	187	15	1		0013A20041734125	16	0
6056	187	16	1		0013A20041734125	16	0
6057	187	1	2		0013A2004173412B	16	0
6058	187	2	2		0013A2004173412B	16	0
6059	187	3	2		0013A20041094BF7	16	0
6060	187	4	2		0013A20041094BF7	16	0
6061	187	5	2		0013A20041734108	16	0
6062	187	6	2		0013A20041734108	16	0
6063	187	7	2		0013A20041734127	16	0
6064	187	8	2		0013A20041734127	16	0
6065	187	9	2		0013A2004173412F	16	0
6066	187	10	2		0013A2004173412F	16	0
6067	187	11	2		0013A20041734121	16	0
6068	187	12	2		0013A20041734121	16	0
6069	187	13	2		0013A2004173412C	16	0
6070	187	14	2		0013A2004173412C	16	0
6071	187	15	2		0013A20041734128	16	0
