Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
2305	65	1	1		0013A20041519DC9	6	0
2306	65	2	1		0013A20041519DC9	6	0
2307	65	3	1		0013A20041519E2E	6	0
2308	65	4	1		0013A20041519E2E	6	0
2309	65	5	1		0013A20041519DC3	6	0
2310	65	6	1		0013A20041519DC3	6	0
2311	65	7	1		0013A20041519DC7	6	0
2312	65	8	1		0013A20041519DC7	6	0
2313	65	9	1		0013A20041519E09	6	0
2314	65	10	1		0013A20041519E09	6	0
2315	65	11	1		0013A20041519E0E	6	0
2316	65	12	1		0013A20041519E0E	6	0
2317	65	13	1		0013A20041519E0B	6	0
2318	65	14	1		0013A20041519E0B	6	0
2319	65	15	1		0013A20041519E0A	6	0
2320	65	16	1		0013A20041519E0A	6	0
2321	65	1	2		0013A20041519E0D	6	0
2322	65	2	2		0013A20041519E0D	6	0
2323	65	3	2		0013A20041519E62	6	0
2324	65	4	2		0013A20041519E62	6	0
2325	65	5	2		0013A20041519E64	6	0
2326	65	6	2		0013A20041519E64	6	0
2327	65	7	2		0013A20041519E63	6	0
2328	65	8	2		0013A20041519E63	6	0
2329	65	9	2		0013A20041519E5E	6	0
2330	65	10	2		0013A20041519E5E	6	0
2331	65	11	2		0013A20041519DCB	6	0
2332	65	12	2		0013A20041519DCB	6	0
2333	65	13	2		0013A20041519E73	6	0
2334	65	14	2		0013A20041519E73	6	0
2335	65	15	2		0013A20041519E6F	6	0
2336	65	16	2		0013A20041519E6F	6	0
2337	66	1	1		0013A20041519E69	6	0
2338	66	2	1		0013A20041519E69	6	0
2339	66	3	1		0013A20041519E68	6	0
2340	66	4	1		0013A20041519E68	6	0
2341	66	5	1		0013A20041519E61	6	0
2342	66	6	1		0013A20041519E61	6	0
2343	66	7	1		0013A20041519E72	6	0
2344	66	8	1		0013A20041519E72	6	0
2345	66	9	1		0013A20041519E6E	6	0
2346	66	10	1		0013A20041519E6E	6	0
2347	66	11	1		0013A20041519E70	6	0
2348	66	12	1		0013A20041519E70	6	0
2349	66	13	1		0013A20041519E71	6	0
2350	66	14	1		0013A20041519E71	6	0
2351	66	15	1		0013A20041519E75	6	0
2352	66	16	1		0013A20041519E75	6	0
2353	66	1	2		0013A20041099C1C	6	0
2354	66	2	2		0013A20041099C1C	6	0
2355	66	3	2		0013A20041099C19	6	0
2356	66	4	2		0013A20041099C19	6	0
2357	66	5	2		0013A20041099C14	6	0
2358	66	6	2		0013A20041099C14	6	0
2359	66	7	2		0013A20041099C0A	6	0
2360	66	8	2		0013A20041099C0A	6	0
2361	66	9	2		0013A20041099C0E	6	0
2362	66	10	2		0013A20041099C0E	6	0
2363	66	11	2		0013A20041099D02	6	0
2364	66	12	2		0013A20041099D02	6	0
2365	66	13	2		0013A20041099D0B	6	0
2366	66	14	2		0013A20041099D0B	6	0
2367	66	15	2		0013A20041099D0E	6	0
2368	66	16	2		0013A20041099D0E	6	0
2369	67	1	1		0013A20041099D10	6	0
2370	67	2	1		0013A20041099D10	6	0
2371	67	3	1		0013A20041099C0F	6	0
2372	67	4	1		0013A20041099C0F	6	0
2373	67	5	1		0013A20041099D0C	6	0
2374	67	6	1		0013A20041099D0C	6	0
2375	67	7	1		0013A20041099D08	6	0
2376	67	8	1		0013A20041099D08	6	0
2377	67	9	1		0013A20041099B5A	6	0
2378	67	10	1		0013A20041099B5A	6	0
2379	67	11	1		0013A20041099D0D	6	0
2380	67	12	1		0013A20041099D0D	6	0
2381	67	13	1		0013A20041099D0F	6	0
2382	67	14	1		0013A20041099D0F	6	0
2383	67	15	1		0013A20041099D07	6	0
2384	67	16	1		0013A20041099D07	6	0
2385	67	1	2		0013A20041099D01	6	0
2386	67	2	2		0013A20041099D01	6	0
2387	67	3	2		0013A20041099D0A	6	0
2388	67	4	2		0013A20041099D0A	6	0
2389	67	5	2		0013A20041099D03	6	0
2390	67	6	2		0013A20041099D03	6	0
2391	67	7	2		0013A20041099D09	6	0
2392	67	8	2		0013A20041099D09	6	0
2393	67	9	2		0013A20041099D28	6	0
2394	67	10	2		0013A20041099D28	6	0
2395	67	11	2		0013A20041099D00	6	0
2396	67	12	2		0013A20041099D00	6	0
2397	67	13	2		0013A20041753617	6	0
2398	67	14	2		0013A20041753617	6	0
2399	67	15	2		0013A2004175361A	6	0
2400	67	16	2		0013A2004175361A	6	0
2401	70	1	1		0013A20041099C33	6	0
2402	70	2	1		0013A20041099C33	6	0
2403	70	3	1		0013A20041099C47	6	0
2404	70	4	1		0013A20041099C47	6	0
2405	70	5	1		0013A20041099B49	6	0
2406	70	6	1		0013A20041099B49	6	0
2407	70	7	1		0013A20041099C4A	6	0
2408	70	8	1		0013A20041099C4A	6	0
2409	70	9	1		0013A20041099C36	6	0
2410	70	10	1		0013A20041099C36	6	0
2411	70	1	2		0013A20041099C37	6	0
2412	70	2	2		0013A20041099C37	6	0
2413	70	3	2		0013A20041099C4E	6	0
2414	70	4	2		0013A20041099C4E	6	0
2415	70	5	2		0013A20041099C4F	6	0
2416	70	6	2		0013A20041099C4F	6	0
