Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
449	4	1	1		0013A200415174D0	2	0
450	4	2	1		0013A200415174D0	2	0
451	4	3	1		0013A200415174C6	2	0
452	4	4	1		0013A200415174C6	2	0
453	4	5	1		0013A200415174CA	2	0
454	4	6	1		0013A200415174CA	2	0
455	4	7	1		0013A200415174C9	2	0
456	4	8	1		0013A200415174C9	2	0
457	4	9	1		0013A200415174CD	2	0
458	4	10	1		0013A200415174CD	2	0
459	4	11	1		0013A200415174C2	2	0
460	4	12	1		0013A200415174C2	2	0
461	4	13	1		0013A200415174CB	2	0
462	4	14	1		0013A200415174CB	2	0
463	4	15	1		0013A200415174C8	2	0
464	4	16	1		0013A200415174C8	2	0
465	4	1	2		0013A20041085D62	2	0
466	4	2	2		0013A20041085D62	2	0
467	4	3	2		0013A200415174D1	2	0
468	4	4	2		0013A200415174D1	2	0
469	4	5	2		0013A20041085D6B	2	0
470	4	6	2		0013A20041085D6B	2	0
471	4	7	2		0013A200415174C4	2	0
472	4	8	2		0013A200415174C4	2	0
473	4	9	2		0013A20041085D66	2	0
474	4	10	2		0013A20041085D66	2	0
475	4	11	2		0013A20041085D6F	2	0
476	4	12	2		0013A20041085D6F	2	0
477	4	13	2		0013A20041085D65	2	0
478	4	14	2		0013A20041085D65	2	0
479	4	15	2		0013A20041085D64	2	0
480	4	16	2		0013A20041085D64	2	0
481	5	1	1		0013A20041085D61	2	0
482	5	2	1		0013A20041085D61	2	0
483	5	3	1		0013A20041085D6E	2	0
484	5	4	1		0013A20041085D6E	2	0
485	5	5	1		0013A20041085D63	2	0
486	5	6	1		0013A20041085D63	2	0
487	5	7	1		0013A20041085D70	2	0
488	5	8	1		0013A20041085D70	2	0
489	5	9	1		0013A20041085D69	2	0
490	5	10	1		0013A20041085D69	2	0
491	5	11	1		0013A2004151751A	2	0
492	5	12	1		0013A2004151751A	2	0
493	5	13	1		0013A20041085D6A	2	0
494	5	14	1		0013A20041085D6A	2	0
495	5	15	1		0013A20041085D6C	2	0
496	5	16	1		0013A20041085D6C	2	0
497	5	1	2		0013A20041085D67	2	0
498	5	2	2		0013A20041085D67	2	0
499	5	3	2		0013A20041085D72	2	0
500	5	4	2		0013A20041085D72	2	0
501	5	5	2		0013A20041085D77	2	0
502	5	6	2		0013A20041085D77	2	0
503	5	7	2		0013A20041085D79	2	0
504	5	8	2		0013A20041085D79	2	0
505	5	9	2		0013A20041085D7E	2	0
506	5	10	2		0013A20041085D7E	2	0
507	5	11	2		0013A20041085D7F	2	0
508	5	12	2		0013A20041085D7F	2	0
509	5	13	2		0013A20041085D6D	2	0
510	5	14	2		0013A20041085D6D	2	0
511	5	15	2		0013A20041085D71	2	0
512	5	16	2		0013A20041085D71	2	0
513	9	1	1		0013A20041085B56	2	0
514	9	2	1		0013A20041085B56	2	0
515	9	3	1		0013A20041085B93	2	0
516	9	4	1		0013A20041085B93	2	0
517	9	5	1		0013A20041085B5C	2	0
518	9	6	1		0013A20041085B5C	2	0
519	9	7	1		0013A20041085B5D	2	0
520	9	X	X		0013A20041085B5D	2	1
521	9	1	2		0013A20041085B58	2	0
522	9	2	2		0013A20041085B58	2	0
523	9	3	2		0013A20041085B9A	2	0
524	9	4	2		0013A20041085B9A	2	0
525	9	5	2		0013A20041085B53	2	0
526	9	6	2		0013A20041085B53	2	0
527	9	7	2		0013A20041085B50	2	0
528	9	X	X		0013A20041085B50	2	1
529	10	1	1		0013A20041085B57	2	0
530	10	2	1		0013A20041085B57	2	0
531	10	3	1		0013A20041085B63	2	0
532	10	4	1		0013A20041085B63	2	0
533	10	5	1		0013A20041085B49	2	0
534	10	6	1		0013A20041085B49	2	0
535	10	7	1		0013A20041085B8D	2	0
536	10	8	1		0013A20041085B8D	2	0
537	10	9	1		0013A20041085B4E	2	0
538	10	10	1		0013A20041085B4E	2	0
539	10	11	1		0013A20041085B5B	2	0
540	10	12	1		0013A20041085B5B	2	0
541	10	13	1		0013A20041085B44	2	0
542	10	14	1		0013A20041085B44	2	0
543	10	15	1		0013A20041085B5F	2	0
544	10	16	1		0013A20041085B5F	2	0
545	10	1	2		0013A20041085B4C	2	0
546	10	2	2		0013A20041085B4C	2	0
547	10	3	2		0013A20041085B4D	2	0
548	10	4	2		0013A20041085B4D	2	0
549	10	5	2		0013A20041085B54	2	0
550	10	6	2		0013A20041085B54	2	0
551	10	7	2		0013A20041085B60	2	0
552	10	8	2		0013A20041085B60	2	0
553	10	9	2		0013A20041085B4A	2	0
554	10	10	2		0013A20041085B4A	2	0
555	10	11	2		0013A20041085B46	2	0
556	10	12	2		0013A20041085B46	2	0
557	10	13	2		0013A2004151749B	2	0
558	10	14	2		0013A2004151749B	2	0
559	10	15	2		0013A200415174A8	2	0
560	10	16	2		0013A200415174A8	2	0
561	11	1	1		0013A2004151749E	2	0
562	11	2	1		0013A2004151749E	2	0
563	11	3	1		0013A2004151749F	2	0
564	11	4	1		0013A2004151749F	2	0
565	11	5	1		0013A200415174A1	2	0
