Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
1889	63	1	1		0013A20041088C89	5	0
1890	63	2	1		0013A20041088C89	5	0
1891	63	3	1		0013A2004109513A	5	0
1892	63	4	1		0013A2004109513A	5	0
1893	63	5	1		0013A2004109512E	5	0
1894	63	6	1		0013A2004109512E	5	0
1895	63	7	1		0013A20041088C9C	5	0
1896	63	8	1		0013A20041088C9C	5	0
1897	63	9	1		0013A20041088C99	5	0
1898	63	10	1		0013A20041088C99	5	0
1899	63	11	1		0013A20041088C97	5	0
1900	63	12	1		0013A20041088C97	5	0
1901	63	13	1		0013A20041095157	5	0
1902	63	14	1		0013A20041095157	5	0
1903	63	15	1		0013A20041095159	5	0
1904	63	16	1		0013A20041095159	5	0
1905	63	1	2		0013A20041095153	5	0
1906	63	2	2		0013A20041095153	5	0
1907	63	3	2		0013A2004109515A	5	0
1908	63	4	2		0013A2004109515A	5	0
1909	63	5	2		0013A20041095158	5	0
1910	63	6	2		0013A20041095158	5	0
1911	63	7	2		0013A20041519EE3	5	0
1912	63	8	2		0013A20041519EE3	5	0
1913	63	9	2		0013A20041519E9D	5	0
1914	63	10	2		0013A20041519E9D	5	0
1915	63	11	2		0013A20041519ED0	5	0
1916	63	12	2		0013A20041519ED0	5	0
1917	63	13	2		0013A20041519E9C	5	0
1918	63	14	2		0013A20041519E9C	5	0
1919	63	15	2		0013A20041519EC7	5	0
1920	63	16	2		0013A20041519EC7	5	0
1921	64	1	1		0013A20041519ED2	5	0
1922	64	2	1		0013A20041519ED2	5	0
1923	64	3	1		0013A20041519EE4	5	0
1924	64	4	1		0013A20041519EE4	5	0
1925	64	5	1		0013A20041519EE1	5	0
1926	64	6	1		0013A20041519EE1	5	0
1927	64	7	1		0013A20041519EE6	5	0
1928	64	8	1		0013A20041519EE6	5	0
1929	64	9	1		0013A20041519EAE	5	0
1930	64	10	1		0013A20041519EAE	5	0
1931	64	11	1		0013A20041519EB0	5	0
1932	64	12	1		0013A20041519EB0	5	0
1933	64	13	1		0013A20041519ED3	5	0
1934	64	14	1		0013A20041519ED3	5	0
1935	64	15	1		0013A20041519ED8	5	0
1936	64	16	1		0013A20041519ED8	5	0
1937	64	1	2		0013A20041519E91	5	0
1938	64	2	2		0013A20041519E91	5	0
1939	64	3	2		0013A20041519EE2	5	0
1940	64	4	2		0013A20041519EE2	5	0
1941	64	5	2		0013A20041519ECE	5	0
1942	64	6	2		0013A20041519ECE	5	0
1943	64	7	2		0013A20041519ED5	5	0
1944	64	8	2		0013A20041519ED5	5	0
1945	64	9	2		0013A20041519ECB	5	0
1946	64	10	2		0013A20041519ECB	5	0
1947	64	11	2		0013A20041519ECF	5	0
1948	64	12	2		0013A20041519ECF	5	0
1949	64	13	2		0013A20041519ECC	5	0
1950	64	14	2		0013A20041519ECC	5	0
1951	64	15	2		0013A20041519E0C	5	0
1952	64	16	2		0013A20041519E0C	5	0
1953	68	1	1		0013A20041099D06	5	0
1954	68	2	1		0013A20041099D06	5	0
1955	68	3	1		0013A20041099D18	5	0
1956	68	4	1		0013A20041099D18	5	0
1957	68	5	1		0013A20041099D1B	5	0
1958	68	6	1		0013A20041099D1B	5	0
1959	68	7	1		0013A20041099D23	5	0
1960	68	8	1		0013A20041099D23	5	0
