Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
3721	122	1	1		0013A200417533B6	9	0
3722	122	2	1		0013A200417533B6	9	0
3723	122	3	1		0013A200417533B3	9	0
3724	122	4	1		0013A200417533B3	9	0
3725	122	5	1		0013A200417533B7	9	0
3726	122	6	1		0013A200417533B7	9	0
3727	122	7	1		0013A200417533B0	9	0
3728	122	8	1		0013A200417533B0	9	0
3729	122	1	2		0013A200417533AD	9	0
3730	122	2	2		0013A200417533AD	9	0
3731	122	3	2		0013A200417533B5	9	0
3732	122	4	2		0013A200417533B5	9	0
3733	122	5	2		0013A200417533AE	9	0
3734	122	6	2		0013A200417533AE	9	0
3735	122	7	2		0013A200417533BB	9	0
3736	122	8	2		0013A200417533BB	9	0
3737	123	1	1		0013A200417533AF	9	0
3738	123	2	1		0013A200417533AF	9	0
3739	123	3	1		0013A200417533A9	9	0
3740	123	4	1		0013A200417533A9	9	0
3741	123	5	1		0013A20041753380	9	0
3742	123	6	1		0013A20041753380	9	0
3743	123	7	1		0013A20041753381	9	0
3744	123	8	1		0013A20041753381	9	0
3745	123	9	1		0013A20041753382	9	0
3746	123	10	1		0013A20041753382	9	0
3747	123	11	1		0013A200417533B2	9	0
3748	123	12	1		0013A200417533B2	9	0
3749	123	13	1		0013A20041753393	9	0
3750	123	14	1		0013A20041753393	9	0
3751	123	15	1		0013A20041753423	9	0
3752	123	16	1		0013A20041753423	9	0
3753	123	1	2		0013A2004175340F	9	0
3754	123	2	2		0013A2004175340F	9	0
3755	123	3	2		0013A2004175340D	9	0
3756	123	4	2		0013A2004175340D	9	0
3757	123	5	2		0013A20041753428	9	0
3758	123	6	2		0013A20041753428	9	0
3759	123	7	2		0013A20041753429	9	0
3760	123	8	2		0013A20041753429	9	0
3761	123	9	2		0013A20041753427	9	0
3762	123	10	2		0013A20041753427	9	0
3763	123	11	2		0013A2004175340B	9	0
3764	123	12	2		0013A2004175340B	9	0
3765	123	13	2		0013A20041753408	9	0
