Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
5033	155	1	1		0013A20041753450	13	0
5034	155	2	1		0013A20041753450	13	0
5035	155	3	1		0013A20041099BC1	13	0
5036	155	4	1		0013A20041099BC1	13	0
5037	155	5	1		0013A20041099BC2	13	0
5038	155	6	1		0013A20041099BC2	13	0
5039	155	7	1		0013A2004151E091	13	0
5040	155	8	1		0013A2004151E091	13	0
5041	155	9	1		0013A2004151E093	13	0
5042	155	10	1		0013A2004151E093	13	0
5043	155	11	1		0013A2004151E081	13	0
5044	155	12	1		0013A2004151E081	13	0
5045	155	13	1		0013A2004151E078	13	0
5046	155	14	1		0013A2004151E078	13	0
5047	155	15	1		0013A2004151E090	13	0
5048	155	16	1		0013A2004151E090	13	0
5049	155	1	2		0013A2004151E089	13	0
5050	155	2	2		0013A2004151E089	13	0
5051	155	3	2		0013A2004151E08F	13	0
5052	155	4	2		0013A2004151E08F	13	0
5053	155	5	2		0013A2004151E079	13	0
5054	155	6	2		0013A2004151E079	13	0
5055	155	7	2		0013A20041099C6F	13	0
5056	155	8	2		0013A20041099C6F	13	0
5057	155	9	2		0013A2004151E084	13	0
5058	155	10	2		0013A2004151E084	13	0
5059	155	11	2		0013A2004151E080	13	0
5060	155	12	2		0013A2004151E080	13	0
5061	155	13	2		0013A2004151E013	13	0
5062	155	14	2		0013A2004151E013	13	0
5063	155	15	2		0013A2004151E09E	13	0
5064	155	16	2		0013A2004151E09E	13	0
5065	163	1	1		0013A2004151E09D	13	0
5066	163	2	1		0013A2004151E09D	13	0
5067	163	3	1		0013A2004151E09F	13	0
5068	163	4	1		0013A2004151E09F	13	0
5069	163	5	1		0013A20041099C64	13	0
5070	163	6	1		0013A20041099C64	13	0
5071	163	7	1		0013A20041099C78	13	0
5072	163	8	1		0013A20041099C78	13	0
5073	163	9	1		0013A20041099C66	13	0
5074	163	10	1		0013A20041099C66	13	0
5075	163	11	1		0013A2004151E01C	13	0
5076	163	12	1		0013A2004151E01C	13	0
5077	163	13	1		0013A20041099C81	13	0
5078	163	14	1		0013A20041099C81	13	0
5079	163	15	1		0013A20041753437	13	0
5080	163	16	1		0013A20041753437	13	0
5081	163	1	2		0013A2004175341C	13	0
5082	163	2	2		0013A2004175341C	13	0
5083	163	3	2		0013A200417533B8	13	0
5084	163	4	2		0013A200417533B8	13	0
5085	163	5	2		0013A2004175342E	13	0
5086	163	6	2		0013A2004175342E	13	0
5087	163	7	2		0013A20041753436	13	0
5088	163	8	2		0013A20041753436	13	0
5089	163	9	2		0013A2004175343C	13	0
5090	163	10	2		0013A2004175343C	13	0
5091	163	11	2		0013A2004175343E	13	0
5092	163	12	2		0013A2004175343E	13	0
5093	163	13	2		0013A2004175343B	13	0
5094	163	14	2		0013A2004175343B	13	0
5095	163	15	2		0013A20041753454	13	0
5096	163	16	2		0013A20041753454	13	0
