Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
3165	104	1	1	1	0013A2004151E559	8	0
3166	104	2	1	1	0013A2004151E559	8	0
3167	104	3	1	1	0013A2004151E552	8	0
3168	104	4	1	1	0013A2004151E552	8	0
3169	104	5	1	1	0013A2004151E554	8	0
3170	104	6	1	1	0013A2004151E554	8	0
3171	104	7	1	1	0013A2004109A049	8	0
3172	104	8	1	1	0013A2004109A049	8	0
3173	104	9	1	1	0013A2004109A043	8	0
3174	104	10	1	1	0013A2004109A043	8	0
3175	104	11	1	1	0013A2004151E556	8	0
3176	104	12	1	1	0013A2004151E556	8	0
3177	104	13	1	1	0013A2004151E55A	8	0
3178	104	14	1	1	0013A2004151E55A	8	0
3179	104	15	1	1	0013A2004151E55B	8	0
3180	104	X	X	1	0013A2004151E55B	8	1
3181	104	1	2	1	0013A2004109A04E	8	0
3182	104	2	2	1	0013A2004109A04E	8	0
3183	104	3	2	1	0013A2004109A05F	8	0
3184	104	4	2	1	0013A2004109A05F	8	0
3185	104	5	2	1	0013A2004109A04A	8	0
3186	104	6	2	1	0013A2004109A04A	8	0
3187	104	7	2	1	0013A2004109A044	8	0
3188	104	8	2	1	0013A2004109A044	8	0
3189	104	9	2	1	0013A2004109A05E	8	0
3190	104	10	2	1	0013A2004109A05E	8	0
3191	104	11	2	1	0013A2004109A060	8	0
3192	104	12	2	1	0013A2004109A060	8	0
3193	104	13	2	1	0013A2004151E4EA	8	0
3194	104	14	2	1	0013A2004151E4EA	8	0
3195	104	15	2	1	0013A2004109A055	8	0
3196	104	X	X	1	0013A2004109A055	8	1
3197	105	1	1	1	0013A2004109A04D	8	0
3198	105	2	1	1	0013A2004109A04D	8	0
3199	105	3	1	1	0013A2004109A061	8	0
3200	105	4	1	1	0013A2004109A061	8	0
3201	105	5	1	1	0013A2004109A048	8	0
3202	105	6	1	1	0013A2004109A048	8	0
3203	105	7	1	1	0013A2004109A04C	8	0
3204	105	8	1	1	0013A2004109A04C	8	0
3205	105	9	1	1	0013A2004109A05D	8	0
3206	105	10	1	1	0013A2004109A05D	8	0
3207	105	11	1	1	0013A2004109A045	8	0
3208	105	12	1	1	0013A2004109A045	8	0
3209	105	13	1	1	0013A2004109A046	8	0
3210	105	14	1	1	0013A2004109A046	8	0
3211	105	15	1	1	0013A2004151E4DB	8	0
3212	105	16	1	1	0013A2004151E4DB	8	0
3213	105	17	1	1	0013A2004109A04F	8	0
3214	105	18	1	1	0013A2004109A04F	8	0
3215	105	19	1	1	0013A2004109A062	8	0
3216	105	20	1	1	0013A2004109A062	8	0
3217	105	1	2	1	0013A2004151E4DE	8	0
3218	105	2	2	1	0013A2004151E4DE	8	0
3219	105	3	2	1	0013A2004109A04B	8	0
3220	105	4	2	1	0013A2004109A04B	8	0
3221	105	5	2	1	0013A2004109A05B	8	0
3222	105	6	2	1	0013A2004109A05B	8	0
3223	105	7	2	1	0013A2004151E583	8	0
3224	105	8	2	1	0013A2004151E583	8	0
3225	105	9	2	1	0013A2004109A05A	8	0
3226	105	10	2	1	0013A2004109A05A	8	0
3227	105	11	2	1	0013A2004109A047	8	0
3228	105	12	2	1	0013A2004109A047	8	0
3229	105	13	2	1	0013A2004151E49C	8	0
3230	105	14	2	1	0013A2004151E49C	8	0
3231	105	15	2	1	0013A20041099FFF	8	0
3232	105	16	2	1	0013A20041099FFF	8	0
3233	105	17	2	1	0013A2004109A054	8	0
3234	105	18	2	1	0013A2004109A054	8	0
3235	105	19	2	1	0013A2004109A00E	8	0
3236	105	20	2	1	0013A2004109A00E	8	0
3237	106	1	1	1	0013A2004109A059	8	0
3238	106	2	1	1	0013A2004109A059	8	0
3239	106	3	1	1	0013A2004109A05C	8	0
3240	106	4	1	1	0013A2004109A05C	8	0
3241	106	5	1	1	0013A20041099FF8	8	0
3242	106	6	1	1	0013A20041099FF8	8	0
3243	106	7	1	1	0013A2004109A052	8	0
3244	106	8	1	1	0013A2004109A052	8	0
3245	106	9	1	1	0013A2004151E49B	8	0
3246	106	10	1	1	0013A2004151E49B	8	0
3247	106	11	1	1	0013A2004109A050	8	0
3248	106	12	1	1	0013A2004109A050	8	0
3249	106	13	1	1	0013A2004109A051	8	0
3250	106	14	1	1	0013A2004109A051	8	0
3251	106	15	1	1	0013A2004151E482	8	0
3252	106	16	1	1	0013A2004151E482	8	0
3253	106	17	1	1	0013A2004151E47F	8	0
3254	106	18	1	1	0013A2004151E47F	8	0
3255	106	1	2	1	0013A2004151E489	8	0
3256	106	2	2	1	0013A2004151E489	8	0
3257	106	3	2	1	0013A2004151E47C	8	0
3258	106	4	2	1	0013A2004151E47C	8	0
3259	106	5	2	1	0013A2004151E477	8	0
3260	106	6	2	1	0013A2004151E477	8	0
3261	106	7	2	1	0013A2004151E48F	8	0
3262	106	8	2	1	0013A2004151E48F	8	0
3263	106	9	2	1	0013A2004151E48B	8	0
3264	106	10	2	1	0013A2004151E48B	8	0
3265	106	11	2	1	0013A2004151E47A	8	0
3266	106	12	2	1	0013A2004151E47A	8	0
3267	106	13	2	1	0013A2004109A000	8	0
3268	106	14	2	1	0013A2004109A000	8	0
3269	106	15	2	1	0013A2004151E478	8	0
3270	106	16	2	1	0013A2004151E478	8	0
3271	106	17	2	1	0013A2004151E57A	8	0
3272	106	18	2	1	0013A2004151E57A	8	0
3273	107	1	1	1	0013A2004151E586	8	0
3274	107	2	1	1	0013A2004151E586	8	0
3275	107	3	1	1	0013A2004151E584	8	0
3276	107	4	1	1	0013A2004151E584	8	0
3277	107	5	1	1	0013A2004151E483	8	0
3278	107	6	1	1	0013A2004151E483	8	0
3279	107	7	1	1	0013A2004151E491	8	0
3280	107	8	1	1	0013A2004151E491	8	0
3281	107	9	1	1	0013A2004151E573	8	0
3282	107	10	1	1	0013A2004151E573	8	0
3283	107	11	1	1	0013A2004151E585	8	0
3284	107	12	1	1	0013A2004151E585	8	0
3285	107	13	1	1	0013A2004151E57D	8	0
3286	107	14	1	1	0013A2004151E57D	8	0
3287	107	15	1	1	0013A2004151E594	8	0
3288	107	16	1	1	0013A2004151E594	8	0
3289	107	1	2	1	0013A2004151E570	8	0
3290	107	2	2	1	0013A2004151E570	8	0
3291	107	3	2	1	0013A2004151E58E	8	0
3292	107	4	2	1	0013A2004151E58E	8	0
3293	107	5	2	1	0013A2004151E592	8	0
3294	107	6	2	1	0013A2004151E592	8	0
3295	107	7	2	1	0013A2004151E57B	8	0
3296	107	8	2	1	0013A2004151E57B	8	0
3297	107	9	2	1	0013A2004151E599	8	0
3298	107	10	2	1	0013A2004151E599	8	0
3299	107	11	2	1	0013A2004151E582	8	0
3300	107	12	2	1	0013A2004151E582	8	0
3301	107	13	2	1	0013A2004151E57C	8	0
3302	107	14	2	1	0013A2004151E57C	8	0
3303	107	15	2	1	0013A2004151E595	8	0
3304	107	16	2	1	0013A2004151E595	8	0
3305	108	1	1	1	0013A2004151E590	8	0
3306	108	2	1	1	0013A2004151E590	8	0
3307	108	3	1	1	0013A2004151E59A	8	0
3308	108	4	1	1	0013A2004151E59A	8	0
3309	108	5	1	1	0013A2004151E57E	8	0
3310	108	6	1	1	0013A2004151E57E	8	0
3311	108	7	1	1	0013A2004151E578	8	0
3312	108	8	1	1	0013A2004151E578	8	0
3313	108	9	1	1	0013A2004151E572	8	0
3314	108	10	1	1	0013A2004151E572	8	0
3315	108	11	1	1	0013A2004151E576	8	0
3316	108	12	1	1	0013A2004151E576	8	0
3317	108	13	1	1	0013A2004151E575	8	0
3318	108	14	1	1	0013A2004151E575	8	0
3319	108	15	1	1	0013A2004151E58B	8	0
3320	108	16	1	1	0013A2004151E58B	8	0
3321	108	17	1	1	0013A2004151E574	8	0
3322	108	18	1	1	0013A2004151E574	8	0
3323	108	1	2	1	0013A2004151E580	8	0
3324	108	2	2	1	0013A2004151E580	8	0
3325	108	3	2	1	0013A2004151E577	8	0
3326	108	4	2	1	0013A2004151E577	8	0
3327	108	5	2	1	0013A2004151E58C	8	0
3328	108	6	2	1	0013A2004151E58C	8	0
3329	108	7	2	1	0013A2004151E598	8	0
3330	108	8	2	1	0013A2004151E598	8	0
