Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
1407	26	15	2		0013A20041085D59	4	0
1408	26	16	2		0013A20041085D59	4	0
1409	37	1	1		0013A20041099B19	4	0
1410	37	2	1		0013A20041099B19	4	0
1411	37	3	1		0013A200417532EA	4	0
1412	37	4	1		0013A200417532EA	4	0
1413	37	5	1		0013A200417532F0	4	0
1414	37	6	1		0013A200417532F0	4	0
1415	37	7	1		0013A20041753306	4	0
1416	37	8	1		0013A20041753306	4	0
1417	37	9	1		0013A20041099B16	4	0
1418	37	10	1		0013A20041099B16	4	0
1419	37	11	1		0013A20041099B06	4	0
1420	37	12	1		0013A20041099B06	4	0
1421	37	13	1		0013A200417532F3	4	0
1422	37	14	1		0013A200417532F3	4	0
1423	37	15	1		0013A2004151DF97	4	0
1424	37	16	1		0013A2004151DF97	4	0
1425	37	1	2		0013A200417532F5	4	0
1426	37	2	2		0013A200417532F5	4	0
1427	37	3	2		0013A200417532ED	4	0
1428	37	4	2		0013A200417532ED	4	0
1429	37	5	2		0013A2004151DF96	4	0
1430	37	6	2		0013A2004151DF96	4	0
1431	37	7	2		0013A2004151DF84	4	0
1432	37	8	2		0013A2004151DF84	4	0
1433	37	9	2		0013A2004151DF72	4	0
1434	37	10	2		0013A2004151DF72	4	0
1435	37	11	2		0013A2004151DF79	4	0
1436	37	12	2		0013A2004151DF79	4	0
1437	37	13	2		0013A2004151DF7E	4	0
1438	37	14	2		0013A2004151DF7E	4	0
1439	37	15	2		0013A200417532E6	4	0
1440	37	16	2		0013A200417532E6	4	0
1441	38	1	1		0013A2004151DF82	4	0
1442	38	2	1		0013A2004151DF82	4	0
1443	38	3	1		0013A2004151DF93	4	0
1444	38	4	1		0013A2004151DF93	4	0
1445	38	5	1		0013A2004151DF75	4	0
1446	38	6	1		0013A2004151DF75	4	0
1447	38	7	1		0013A2004151DF77	4	0
1448	38	8	1		0013A2004151DF77	4	0
1449	38	9	1		0013A2004151DF76	4	0
1450	38	10	1		0013A2004151DF76	4	0
1451	38	11	1		0013A2004151DF7A	4	0
1452	38	12	1		0013A2004151DF7A	4	0
1453	38	13	1		0013A2004151DF87	4	0
1454	38	14	1		0013A2004151DF87	4	0
1455	38	15	1		0013A2004151DF88	4	0
1456	38	16	1		0013A2004151DF88	4	0
1457	38	1	2		0013A2004151DF8E	4	0
1458	38	2	2		0013A2004151DF8E	4	0
1459	38	3	2		0013A2004151DF90	4	0
1460	38	4	2		0013A2004151DF90	4	0
1461	38	5	2		0013A2004151DF7D	4	0
1462	38	6	2		0013A2004151DF7D	4	0
1463	38	7	2		0013A2004151DF80	4	0
1464	38	8	2		0013A2004151DF80	4	0
1465	38	9	2		0013A2004151DF74	4	0
1466	38	10	2		0013A2004151DF74	4	0
1467	38	11	2		0013A2004151DF73	4	0
1468	38	12	2		0013A2004151DF73	4	0
1469	38	13	2		0013A2004151DF8F	4	0
1470	38	14	2		0013A2004151DF8F	4	0
1471	38	15	2		0013A2004151DF71	4	0
1472	38	16	2		0013A2004151DF71	4	0
1473	43	1	1		0013A20041753327	4	0
