Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
4489	126	1	1		0013A2004151E03F	11	0
4490	126	2	1		0013A2004151E03F	11	0
4491	126	3	1		0013A2004151E02A	11	0
4492	126	4	1		0013A2004151E02A	11	0
4493	126	5	1		0013A2004151E03B	11	0
4494	126	6	1		0013A2004151E03B	11	0
4495	126	7	1		0013A2004151E02E	11	0
4496	126	8	1		0013A2004151E02E	11	0
4497	126	9	1		0013A2004151E036	11	0
4498	126	10	1		0013A2004151E036	11	0
4499	126	11	1		0013A2004151E026	11	0
4500	126	12	1		0013A2004151E026	11	0
4501	126	13	1		0013A2004151E029	11	0
4502	126	14	1		0013A2004151E029	11	0
4503	126	15	1		0013A2004151E03A	11	0
4504	126	16	1		0013A2004151E03A	11	0
4505	126	1	2		0013A2004151E045	11	0
4506	126	2	2		0013A2004151E045	11	0
4507	126	3	2		0013A2004151E039	11	0
4508	126	4	2		0013A2004151E039	11	0
4509	126	5	2		0013A2004151E032	11	0
4510	126	6	2		0013A2004151E032	11	0
4511	126	7	2		0013A2004151E033	11	0
4512	126	8	2		0013A2004151E033	11	0
4513	126	9	2		0013A2004151E027	11	0
4514	126	10	2		0013A2004151E027	11	0
4515	126	11	2		0013A2004151E02B	11	0
4516	126	12	2		0013A2004151E02B	11	0
4517	126	13	2		0013A2004151E03E	11	0
4518	126	14	2		0013A2004151E03E	11	0
4519	126	15	2		0013A2004151E03D	11	0
4520	126	16	2		0013A2004151E03D	11	0
4521	131	1	1		0013A2004151E04F	11	0
4522	131	2	1		0013A2004151E04F	11	0
4523	131	3	1		0013A200417533CB	11	0
4524	131	4	1		0013A200417533CB	11	0
4525	131	5	1		0013A2004175342A	11	0
4526	131	6	1		0013A2004175342A	11	0
4527	131	7	1		0013A2004151E014	11	0
4528	131	8	1		0013A2004151E014	11	0
4529	131	9	1		0013A2004151E076	11	0
4530	131	10	1		0013A2004151E076	11	0
4531	131	11	1		0013A2004151E067	11	0
4532	131	12	1		0013A2004151E067	11	0
4533	131	13	1		0013A2004151E069	11	0
4534	131	14	1		0013A2004151E069	11	0
4535	131	15	1		0013A2004151E041	11	0
4536	131	16	1		0013A2004151E041	11	0
4537	131	1	2		0013A2004151E052	11	0
4538	131	2	2		0013A2004151E052	11	0
4539	131	3	2		0013A2004151E06D	11	0
4540	131	4	2		0013A2004151E06D	11	0
4541	131	5	2		0013A2004151E06E	11	0
4542	131	6	2		0013A2004151E06E	11	0
4543	131	7	2		0013A2004151E072	11	0
4544	131	8	2		0013A2004151E072	11	0
4545	131	9	2		0013A2004151E4E0	11	0
4546	131	10	2		0013A2004151E4E0	11	0
4547	131	11	2		0013A2004151E4D0	11	0
4548	131	12	2		0013A2004151E4D0	11	0
4549	131	13	2		0013A2004151E4D1	11	0
4550	131	14	2		0013A2004151E4D1	11	0
4551	131	15	2		0013A2004151E4D3	11	0
4552	131	16	2		0013A2004151E4D3	11	0
4553	136	1	1		0013A2004151E4C9	11	0
