Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
5561	177	1	1		0013A20041099A77	15	0
5562	177	2	1		0013A20041099A77	15	0
5563	177	3	1		0013A20041099A7E	15	0
5564	177	4	1		0013A20041099A7E	15	0
5565	177	5	1		0013A20041099A81	15	0
5566	177	6	1		0013A20041099A81	15	0
5567	177	7	1		0013A20041099A80	15	0
5568	177	8	1		0013A20041099A80	15	0
5569	177	9	1		0013A20041099A86	15	0
5570	177	10	1		0013A20041099A86	15	0
5571	177	11	1		0013A20041099A6B	15	0
5572	177	12	1		0013A20041099A6B	15	0
5573	177	13	1		0013A20041099A6C	15	0
5574	177	14	1		0013A20041099A6C	15	0
5575	177	15	1		0013A20041099A8A	15	0
5576	177	16	1		0013A20041099A8A	15	0
5577	177	1	2		0013A20041099A8D	15	0
5578	177	2	2		0013A20041099A8D	15	0
5579	177	3	2		0013A20041099A79	15	0
5580	177	4	2		0013A20041099A79	15	0
5581	177	5	2		0013A20041099A7B	15	0
5582	177	6	2		0013A20041099A7B	15	0
5583	177	7	2		0013A20041099AA0	15	0
5584	177	8	2		0013A20041099AA0	15	0
5585	177	9	2		0013A20041099AA8	15	0
5586	177	10	2		0013A20041099AA8	15	0
5587	177	11	2		0013A20041099A88	15	0
5588	177	12	2		0013A20041099A88	15	0
5589	177	13	2		0013A20041099A6E	15	0
5590	177	14	2		0013A20041099A6E	15	0
5591	177	15	2		0013A20041099A8B	15	0
5592	177	16	2		0013A20041099A8B	15	0
5593	178	1	1		0013A20041099AE7	15	0
5594	178	2	1		0013A20041099AE7	15	0
5595	178	3	1		0013A20041099AE0	15	0
5596	178	4	1		0013A20041099AE0	15	0
5597	178	5	1		0013A20041099AC9	15	0
5598	178	6	1		0013A20041099AC9	15	0
5599	178	7	1		0013A20041099ACA	15	0
5600	178	8	1		0013A20041099ACA	15	0
5601	178	9	1		0013A20041099AD5	15	0
5602	178	10	1		0013A20041099AD5	15	0
5603	178	11	1		0013A20041099AB2	15	0
5604	178	12	1		0013A20041099AB2	15	0
5605	178	13	1		0013A20041099AE8	15	0
5606	178	14	1		0013A20041099AE8	15	0
5607	178	15	1		0013A20041099AE4	15	0
5608	178	16	1		0013A20041099AE4	15	0
5609	178	1	2		0013A20041099AEB	15	0
5610	178	2	2		0013A20041099AEB	15	0
5611	178	3	2		0013A20041099AE9	15	0
5612	178	4	2		0013A20041099AE9	15	0
5613	178	5	2		0013A20041099AEA	15	0
5614	178	6	2		0013A20041099AEA	15	0
5615	178	7	2		0013A20041099AC4	15	0
5616	178	8	2		0013A20041099AC4	15	0
5617	178	9	2		0013A20041099AC6	15	0
5618	178	10	2		0013A20041099AC6	15	0
5619	178	11	2		0013A20041099AEC	15	0
5620	178	12	2		0013A20041099AEC	15	0
5621	178	13	2		0013A20041099AE3	15	0
5622	178	14	2		0013A20041099AE3	15	0
5623	178	15	2		0013A2004151DF3C	15	0
5624	178	16	2		0013A2004151DF3C	15	0
5625	184	1	1		0013A200410886B5	15	0
5626	184	2	1		0013A200410886B5	15	0
5627	184	3	1		0013A200410886B6	15	0
5628	184	4	1		0013A200410886B6	15	0
5629	184	5	1		0013A200410886BD	15	0
5630	184	6	1		0013A200410886BD	15	0
5631	184	7	1		0013A200410886C3	15	0
5632	184	8	1		0013A200410886C3	15	0
5633	184	9	1		0013A20041094C6C	15	0
5634	184	10	1		0013A20041094C6C	15	0
5635	184	11	1		0013A20041094C68	15	0
5636	184	12	1		0013A20041094C68	15	0
5637	184	13	1		0013A20041094C67	15	0
5638	184	14	1		0013A20041094C67	15	0
5639	184	15	1		0013A20041094C63	15	0
