Xbee	어레이아이디	x	y	dc path	Serial	Coordi	index
1	1	1	1	1	0013A20041085C24	1	80
2	1	2	1	1	0013A20041085C25	1	80
3	1	3	1	1	0013A20041085C26	1	80
4	1	4	1	1	0013A20041085C27	1	00
5	1	5	1	1	0013A20041085C28	1	00
6	1	6	1	1	0013A20041085C29	1	80
7	1	7	1	1	0013A20041085C30	1	80
8	1	8	1	1	0013A20041085C31	1	80





