Xbee	어레이아이디	x	y	dc path	Serial	Coordi	Index
4777	153	1	1		0013A2004151E07E	12	0
4778	153	2	1		0013A2004151E07E	12	0
4779	153	3	1		0013A200417534D4	12	0
4780	153	4	1		0013A200417534D4	12	0
4781	153	5	1		0013A20041099C7F	12	0
4782	153	6	1		0013A20041099C7F	12	0
4783	153	7	1		0013A200417534F3	12	0
4784	153	8	1		0013A200417534F3	12	0
4785	153	9	1		0013A200417534E0	12	0
4786	153	10	1		0013A200417534E0	12	0
4787	153	11	1		0013A200417534EF	12	0
4788	153	12	1		0013A200417534EF	12	0
4789	153	13	1		0013A200417534DB	12	0
4790	153	14	1		0013A200417534DB	12	0
4791	153	15	1		0013A200417534DE	12	0
4792	153	16	1		0013A200417534DE	12	0
4793	153	1	2		0013A200417534D9	12	0
4794	153	2	2		0013A200417534D9	12	0
4795	153	3	2		0013A200417534E6	12	0
4796	153	4	2		0013A200417534E6	12	0
4797	153	5	2		0013A200417534DC	12	0
4798	153	6	2		0013A200417534DC	12	0
4799	153	7	2		0013A200417534E2	12	0
4800	153	8	2		0013A200417534E2	12	0
4801	153	9	2		0013A200417534D5	12	0
4802	153	10	2		0013A200417534D5	12	0
4803	153	11	2		0013A200417534ED	12	0
4804	153	12	2		0013A200417534ED	12	0
4805	153	13	2		0013A200417534D6	12	0
4806	153	14	2		0013A200417534D6	12	0
4807	153	15	2		0013A200417534DD	12	0
4808	153	16	2		0013A200417534DD	12	0
4809	154	1	1		0013A200417534CB	12	0
4810	154	2	1		0013A200417534CB	12	0
4811	154	3	1		0013A200417534E5	12	0
4812	154	4	1		0013A200417534E5	12	0
4813	154	5	1		0013A200417534EE	12	0
4814	154	6	1		0013A200417534EE	12	0
4815	154	7	1		0013A200417534E1	12	0
4816	154	8	1		0013A200417534E1	12	0
4817	154	9	1		0013A200417534F0	12	0
4818	154	10	1		0013A200417534F0	12	0
4819	154	11	1		0013A200417534F1	12	0
4820	154	12	1		0013A200417534F1	12	0
4821	154	13	1		0013A200417534E3	12	0
4822	154	14	1		0013A200417534E3	12	0
4823	154	15	1		0013A200417534F2	12	0
4824	154	16	1		0013A200417534F2	12	0
4825	154	1	2		0013A200417534EC	12	0
4826	154	2	2		0013A200417534EC	12	0
4827	154	3	2		0013A200417534E8	12	0
4828	154	4	2		0013A200417534E8	12	0
4829	154	5	2		0013A20041099BBD	12	0
4830	154	6	2		0013A20041099BBD	12	0
4831	154	7	2		0013A20041099BC3	12	0
4832	154	8	2		0013A20041099BC3	12	0
4833	154	9	2		0013A20041099BC4	12	0
4834	154	10	2		0013A20041099BC4	12	0
4835	154	11	2		0013A2004151E085	12	0
4836	154	12	2		0013A2004151E085	12	0
4837	154	13	2		0013A20041753446	12	0
4838	154	14	2		0013A20041753446	12	0
4839	154	15	2		0013A20041099BB1	12	0
4840	154	16	2		0013A20041099BB1	12	0
4841	161	1	1		0013A20041099BB9	12	0
4842	161	2	1		0013A20041099BB9	12	0
4843	161	3	1		0013A20041099BB7	12	0
4844	161	4	1		0013A20041099BB7	12	0
4845	161	5	1		0013A20041099BC0	12	0
4846	161	6	1		0013A20041099BC0	12	0
4847	161	7	1		0013A2004175344E	12	0
4848	161	8	1		0013A2004175344E	12	0
4849	161	9	1		0013A20041099BAE	12	0
4850	161	10	1		0013A20041099BAE	12	0
4851	161	11	1		0013A20041099BB2	12	0
4852	161	12	1		0013A20041099BB2	12	0
4853	161	13	1		0013A20041099BB0	12	0
4854	161	14	1		0013A20041099BB0	12	0
4855	161	15	1		0013A20041099BB6	12	0
4856	161	16	1		0013A20041099BB6	12	0
4857	161	1	2		0013A20041099BB8	12	0
4858	161	2	2		0013A20041099BB8	12	0
4859	161	3	2		0013A20041099BB3	12	0
4860	161	4	2		0013A20041099BB3	12	0
4861	161	5	2		0013A20041099B53	12	0
4862	161	6	2		0013A20041099B53	12	0
4863	161	7	2		0013A20041099BBF	12	0
4864	161	8	2		0013A20041099BBF	12	0
4865	161	9	2		0013A20041753444	12	0
4866	161	10	2		0013A20041753444	12	0
4867	161	11	2		0013A20041099BB4	12	0
4868	161	12	2		0013A20041099BB4	12	0
4869	161	13	2		0013A2004151E08C	12	0
4870	161	14	2		0013A2004151E08C	12	0
4871	161	15	2		0013A2004151E00A	12	0
4872	161	16	2		0013A2004151E00A	12	0
4873	162	1	1		0013A2004151E07B	12	0
4874	162	2	1		0013A2004151E07B	12	0
4875	162	3	1		0013A20041099C67	12	0
4876	162	4	1		0013A20041099C67	12	0
4877	162	5	1		0013A20041099C7D	12	0
4878	162	6	1		0013A20041099C7D	12	0
4879	162	7	1		0013A2004151E083	12	0
4880	162	8	1		0013A2004151E083	12	0
4881	162	9	1		0013A2004151E09A	12	0
4882	162	10	1		0013A2004151E09A	12	0
4883	162	11	1		0013A2004151E07A	12	0
4884	162	12	1		0013A2004151E07A	12	0
4885	162	13	1		0013A2004151E082	12	0
4886	162	14	1		0013A2004151E082	12	0
4887	162	15	1		0013A2004151E08D	12	0
4888	162	16	1		0013A2004151E08D	12	0
4889	162	1	2		0013A2004151E07C	12	0
4890	162	2	2		0013A2004151E07C	12	0
4891	162	3	2		0013A2004151E094	12	0
4892	162	4	2		0013A2004151E094	12	0
4893	162	5	2		0013A2004151E09C	12	0
4894	162	6	2		0013A2004151E09C	12	0
4895	162	7	2		0013A2004151E087	12	0
4896	162	8	2		0013A2004151E087	12	0
4897	162	9	2		0013A2004151E097	12	0
4898	162	10	2		0013A2004151E097	12	0
4899	162	11	2		0013A20041099C7B	12	0
4900	162	12	2		0013A20041099C7B	12	0
4901	162	13	2		0013A2004151E095	12	0
4902	162	14	2		0013A2004151E095	12	0
4903	162	15	2		0013A2004151E092	12	0
4904	162	16	2		0013A2004151E092	12	0
4905	167	1	1		0013A2004151DF40	12	0
4906	167	2	1		0013A2004151DF40	12	0
4907	167	3	1		0013A200417509F3	12	0
4908	167	4	1		0013A200417509F3	12	0
4909	167	5	1		0013A200417509F9	12	0
4910	167	6	1		0013A200417509F9	12	0
4911	167	7	1		0013A200417509F8	12	0
4912	167	8	1		0013A200417509F8	12	0
4913	167	9	1		0013A200417509EB	12	0
4914	167	10	1		0013A200417509EB	12	0
4915	167	11	1		0013A200417509E9	12	0
4916	167	12	1		0013A200417509E9	12	0
4917	167	13	1		0013A200417509EF	12	0
4918	167	14	1		0013A200417509EF	12	0
4919	167	15	1		0013A200417509F1	12	0
4920	167	16	1		0013A200417509F1	12	0
4921	167	1	2		0013A200417509E8	12	0
4922	167	2	2		0013A200417509E8	12	0
4923	167	3	2		0013A200417509F6	12	0
4924	167	4	2		0013A200417509F6	12	0
4925	167	5	2		0013A200417509EE	12	0
4926	167	6	2		0013A200417509EE	12	0
4927	167	7	2		0013A20041099AFC	12	0
4928	167	8	2		0013A20041099AFC	12	0
4929	167	9	2		0013A20041099AFE	12	0
